Member1	Member2
Andreas Jedlitschka	Ayşe Başar
Andreas Jedlitschka	He Zhang
Andreas Jedlitschka	Sira Vegas
Andreas Jedlitschka	Maurizio Morisio
Andreas Jedlitschka	Per Runeson
Andreas Jedlitschka	Dag Sjøberg
Andreas Jedlitschka	Dieter Rombach
Andreas Jedlitschka	Xavier Franch
Andreas Jedlitschka	Marcus Ciolkowski
Barbara Russo	Dietmar Pfahl
Barbara Russo	Qing Wang
Barbara Russo	Laurie Williams
Barbara Russo	Martin Solari
Barbara Russo	Sandro Morasca
Qing Wang	Nils Brede Moe
Qing Wang	Desmond Greer
Qing Wang	Stefan Wagner
Qing Wang	Jingyu Li
Qing Wang	Burak Turhan
Qing Wang	Minghui Zhou
Qing Wang	Ayşe Başar
Qing Wang	He Zhang
Qing Wang	Maya Daneva
Qing Wang	Ross Jeffery
Qing Wang	Dan Port
Qing Wang	Audris Mockus
Qing Wang	Ali Babar
Qing Wang	Laurie Williams
Per Runeson	Dietmar Pfahl
Per Runeson	Burak Turhan
Per Runeson	Maria Teresa Baldassarre
Per Runeson	Marcela Genero
Per Runeson	Dag Sjøberg
Per Runeson	Danilo Caivano
Maria Paasivaara	Jeffrey Carver
Maria Paasivaara	Nils Brede Moe
Clemente Izurieta	Carolyn Seaman
Clemente Izurieta	Paris Avgeriou
Clemente Izurieta	Laurie Williams
He Zhang	Nils Brede Moe
He Zhang	Dietmar Pfahl
He Zhang	Paris Avgeriou
He Zhang	Minghui Zhou
He Zhang	Ayşe Başar
He Zhang	Ali Babar
He Zhang	Jingyu Li
He Zhang	Oscar Pastor
He Zhang	Victor Basili
He Zhang	Maya Daneva
He Zhang	Ross Jeffery
He Zhang	Audris Mockus
He Zhang	Laurie Williams
Kenichi Matsumoto	Shinji Kusumoto
Kenichi Matsumoto	Koji Torii
Jingyu Li	Maria Teresa Baldassarre
Jingyu Li	Minghui Zhou
Jingyu Li	Maurizio Morisio
Jingyu Li	Audris Mockus
Jingyu Li	Maya Daneva
Jingyu Li	Dan Port
Laurie Williams	Jeffrey Carver
Laurie Williams	Dietmar Pfahl
Laurie Williams	Carolyn Seaman
Laurie Williams	Minghui Zhou
Laurie Williams	Ayşe Başar
Laurie Williams	Koji Torii
Laurie Williams	Victor Basili
Shinji Kusumoto	Koji Torii
Minghui Zhou	Marcos Kalinowski
Minghui Zhou	Nils Brede Moe
Minghui Zhou	Burak Turhan
Minghui Zhou	Audris Mockus
Minghui Zhou	Ross Jeffery
Minghui Zhou	Ali Babar
Marcos Kalinowski	Tomi Männistö
Marcos Kalinowski	Burak Turhan
Marcos Kalinowski	Stefan Biffl
Marcos Kalinowski	Rogardt Heldal
Marcos Kalinowski	Desmond Greer
Marcos Kalinowski	Stefan Wagner
Marcos Kalinowski	Martin Solari
Marcos Kalinowski	Marcela Genero
Marcos Kalinowski	Dietmar Pfahl
Marcos Kalinowski	Rafael Prikladnicki
Marcos Kalinowski	Nils Brede Moe
Marcos Kalinowski	Paris Avgeriou
Marcos Kalinowski	Maria Teresa Baldassarre
Rafael Prikladnicki	Tomi Männistö
Rafael Prikladnicki	Nils Brede Moe
Rafael Prikladnicki	Desmond Greer
Rafael Prikladnicki	Stefan Wagner
Rafael Prikladnicki	Jeffrey Carver
Rafael Prikladnicki	Dietmar Pfahl
Rafael Prikladnicki	Stefan Biffl
Rafael Prikladnicki	Rogardt Heldal
Rafael Prikladnicki	Martin Solari
Rafael Prikladnicki	Marcela Genero
Rafael Prikladnicki	Carolyn Seaman
Rafael Prikladnicki	Paris Avgeriou
Rafael Prikladnicki	Maria Teresa Baldassarre
Marcus Ciolkowski	Dietmar Pfahl
Marcus Ciolkowski	Stefan Biffl
Marcus Ciolkowski	Paris Avgeriou
Marcus Ciolkowski	Sira Vegas
Marcus Ciolkowski	Dieter Rombach
Marcus Ciolkowski	Sandro Morasca
Marcus Ciolkowski	Ross Jeffery
Marcus Ciolkowski	Giovanni Cantone
Desmond Greer	Tomi Männistö
Desmond Greer	Nils Brede Moe
Desmond Greer	Stefan Wagner
Desmond Greer	Dietmar Pfahl
Ayşe Başar	Jeffrey Carver
Ayşe Başar	Burak Turhan
Ayşe Başar	Maria Teresa Baldassarre
Ayşe Başar	Stefan Biffl
Ayşe Başar	Audris Mockus
Ayşe Başar	Maurizio Morisio
Magne Jørgensen	Nils Brede Moe
Magne Jørgensen	Dag Sjøberg
Magne Jørgensen	Oscar Pastor
Nils Brede Moe	Paris Avgeriou
Nils Brede Moe	Maria Teresa Baldassarre
Nils Brede Moe	Dag Sjøberg
Nils Brede Moe	Stefan Wagner
Danilo Caivano	Burak Turhan
Danilo Caivano	Maria Teresa Baldassarre
Danilo Caivano	Marcela Genero
Xavier Franch	Tomi Männistö
Xavier Franch	Stefan Wagner
Xavier Franch	Jeffrey Carver
Xavier Franch	Burak Turhan
Xavier Franch	Stefan Biffl
Xavier Franch	Rogardt Heldal
Xavier Franch	Maya Daneva
Xavier Franch	Oscar Pastor
Xavier Franch	Dan Port
Paris Avgeriou	Tomi Männistö
Paris Avgeriou	Carolyn Seaman
Paris Avgeriou	Rogardt Heldal
Sira Vegas	Jeffrey Carver
Sira Vegas	Dietmar Pfahl
Sira Vegas	Burak Turhan
Sira Vegas	Maria Teresa Baldassarre
Sira Vegas	Stefan Biffl
Sira Vegas	Sandro Morasca
Sira Vegas	Oscar Pastor
Sira Vegas	Giovanni Cantone
Sira Vegas	Victor Basili
Sira Vegas	Martin Solari
Oscar Pastor	Marcela Genero
Oscar Pastor	Martin Solari
Oscar Pastor	Maya Daneva
Sandro Morasca	Jeffrey Carver
Sandro Morasca	Dietmar Pfahl
Sandro Morasca	Marcela Genero
Sandro Morasca	Victor Basili
Jeffrey Carver	Maria Teresa Baldassarre
Jeffrey Carver	Victor Basili
Jeffrey Carver	Rogardt Heldal
Jeffrey Carver	Dietmar Pfahl
Maria Teresa Baldassarre	Stefan Wagner
Maria Teresa Baldassarre	Burak Turhan
Maria Teresa Baldassarre	Stefan Biffl
Maria Teresa Baldassarre	Marcela Genero
Marcela Genero	Dietmar Pfahl
Marcela Genero	Stefan Biffl
Marcela Genero	Rogardt Heldal
Marcela Genero	Giovanni Cantone
Marcela Genero	Martin Solari
Dan Port	Dietmar Pfahl
Dan Port	Carolyn Seaman
Dan Port	Victor Basili
Tomi Männistö	Stefan Wagner
Tomi Männistö	Dietmar Pfahl
Rahul Mohanani	Burak Turhan
Carolyn Seaman	Victor Basili
Carolyn Seaman	Dieter Rombach
Carolyn Seaman	Maurizio Morisio
Dag Sjøberg	Dietmar Pfahl
Dag Sjøberg	Burak Turhan
Dag Sjøberg	Audris Mockus
Dag Sjøberg	Victor Basili
Burak Turhan	Stefan Wagner
Burak Turhan	Dietmar Pfahl
Burak Turhan	Stefan Biffl
Stefan Wagner	Audris Mockus
Stefan Wagner	Maya Daneva
Stefan Wagner	Stefan Biffl
Stefan Wagner	Dietmar Pfahl
Dietmar Pfahl	Stefan Biffl
Dietmar Pfahl	Rogardt Heldal
Dietmar Pfahl	Victor Basili
Dietmar Pfahl	Ross Jeffery
Dietmar Pfahl	Dieter Rombach
Maya Daneva	Stefan Biffl
Maurizio Morisio	Victor Basili
Stefan Biffl	Rogardt Heldal
Victor Basili	Ross Jeffery
Victor Basili	Giovanni Cantone
Victor Basili	Dieter Rombach
Victor Basili	Koji Torii
Giovanni Cantone	Dieter Rombach
Dieter Rombach	Ross Jeffery
